motif,ALL UP,Early UP,Late UP,ALL DN,Early DN,Late DN
FOXO3 (Forkhead),57.32,1.023,5.06,0.003318,0.004072,0.000035
KLF9 (Zf),19.9,7.916,0.01441,0.02344,0.001046,2.114
USF2 (bHLH),19.33,1.22,2.398,1.432,1.511,0.105
NFIL3 (bZIP),13.4,0.4681,1.477,0.00102,0.5624,0.01846
HSF,10.11,0.9783,2.524,0.02282,0.6509,0.01666
KLF14(Zf),10.57,25.43,0.008766,0.03637,0.000316,14.94
ETS,4.244,0.1487,9.009,10.95,11.58,0.000018
Atf1(bZIP),1.232,1.263,7.051,0.006865,4.111,0.2728
E2F4 (E2F),0.000038,0.2825,0.2166,27.94,9.357,0.0105
YY1 (Zf),1.276,0.003049,3.565,22.86,9.183,0.000059
NFY (CCAAT),0.788,0.8393,0.003454,22.63,0.7927,2.283
BORIS (Zf),5.364,0.0208,4.405,19.4,11.64,0.000673
ELK1 (ETS),4.961,0.02204,6.106,17.46,11.34,0.000078
ELF1 (ETS),5.775,0.09542,5.962,12.87,14.84,0.000017
CTCF (Zf),5.22,0.000641,3.765,15.21,12.65,0.003668
E2F6 (E2F),0.000687,0.2562,0.03312,5.345,11,0.3856
GFY (Zf),2.457,0.507,3.296,2.035,7.912,0.1769
PIT1(Homeobox),0.3622,0.6753,0.5871,1.795,0.6054,7.11
HOXA13 (Homeobox),1.06,0.5271,0.5428,0.4491,0.05518,7.043
